Number,Species,Chemical Name,TMZ,Resolved QNs,CDMS/JPL Intensity,Lovas/AST Intensity,EL(K),EU(K),Linelist,
90,H2CO,Formaldehyde,"1.5826299999999998E-5, 1.583E-5","40( 8,32)-40( 8,33)",-16.2323,,3607.60523,3607.60599,CDMS
91,HDO,Water,"1.6165E-5, 1.616E-5","8( 6, 2)- 8( 6, 3)",-12.6634,,1589.84397,1589.84475,JPL
92,H2CO,Formaldehyde,"1.6957299999999998E-5, 1.696E-5","49( 9,40)-49( 9,41)",-18.0012,,5209.05848,5209.0593,CDMS
93,H2CO,Formaldehyde,"1.81955E-5, 1.82E-5","24( 6,18)-24( 6,19)",-13.0451,,1470.77335,1470.77422,CDMS
94,H2CO,Formaldehyde,"1.8274999999999997E-5, 1.827E-5","5( 3, 2)- 5( 3, 3), F= 6- 5",-12.5721,,158.4208,158.42168,CDMS
95,H2CO,Formaldehyde,"1.8278099999999997E-5, 1.828E-5","5( 3, 2)- 5( 3, 3), F= 5- 4",-12.5733,,158.4208,158.42168,CDMS
96,H2CO,Formaldehyde,"1.82833E-5, 1.828E-5","5( 3, 2)- 5( 3, 3), F= 4- 4",-11.1929,,158.4208,158.42168,CDMS
97,H2CO,Formaldehyde,"1.82833E-5, 1.828E-5","5( 3, 2)- 5( 3, 3), F= 5- 5",-11.1174,,158.4208,158.42168,CDMS
98,H2CO,Formaldehyde,"1.82833E-5, 1.828E-5","5( 3, 2)- 5( 3, 3), F= 6- 6",-11.0277,,158.4208,158.42168,CDMS
99,H2CO,Formaldehyde,"1.82834E-5, 1.828E-5","5( 3, 2)- 5( 3, 3)",-10.6108,,158.4208,158.42168,CDMS
100,H2CO,Formaldehyde,"1.82885E-5, 1.829E-5","5( 3, 2)- 5( 3, 3), F= 4- 5",-12.5728,,158.4208,158.42168,CDMS
101,H2CO,Formaldehyde,"1.82916E-5, 1.829E-5","5( 3, 2)- 5( 3, 3), F= 5- 6",-12.5713,,158.4208,158.42168,CDMS
102,H2CO,Formaldehyde,"1.87707E-5, 1.877E-5","32( 7,25)-32( 7,26)",-13.9024,,2417.45637,2417.45727,CDMS
103,H2CO,Formaldehyde,"2.1646E-5, 2.165E-5","17( 5,12)-17( 5,13)",-11.4983,,828.70068,828.70172,CDMS
104,H2CO,Formaldehyde,"2.33406E-5, 2.334E-5","41( 8,33)-41( 8,34)",-16.1128,,3750.29885,3750.29997,CDMS
105,H2CO,Formaldehyde,"2.4191E-5, 2.419E-5","50( 9,41)-50( 9,42)",-17.9533,,5382.53485,5382.53601,CDMS
106,H2CO,Formaldehyde,"2.8726199999999993E-5, 2.873E-5","33( 7,26)-33( 7,27)",-13.7132,,2532.56275,2532.56413,CDMS
107,H2CO,Formaldehyde,"2.9577E-5, 2.958E-5","25( 6,19)-25( 6,20)",-12.7675,,1558.10632,1558.10774,CDMS
108,H2CO,Formaldehyde,"3.1773499999999997E-5, 3.177E-5","11( 4, 7)-11( 4, 8)",-11.0592,,419.03173,419.03326,CDMS
109,H2CO,Formaldehyde,"3.4078699999999996E-5, 3.408E-5","42( 8,34)-42( 8,35)",-16.0068,,3896.45616,3896.4578,CDMS
110,H2CO,Formaldehyde,"3.4246000000000004E-5, 3.425E-5","51( 9,42)-51( 9,43)",-17.9169,,5559.44627,5559.44792,CDMS
111,HDO,Water,"3.54891E-5, 3.549E-5","6( 5, 1)- 6( 5, 2)",-11.1958,,1020.32639,1020.32809,JPL
